ID,İl,İlçe,Kurum Adı,Kurum Türü,Adres,Telefon 1,Telefon 2,Kurum Kodu,Web Sitesi
79,İSTANBUL,ARNAVUTKÖY,ÖZEL SELİN KİŞİSEL GELİŞİM KURSU,Özel Muhtelif Kurslar,ARNAVUTKÖY MERKEZ MAH. NİŞAN SK. GUVEN ALIS VERI NO: 11B İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(532) 742 78 94,,3553309570,
80,İSTANBUL,ARNAVUTKÖY,ÖZEL TAV MESLEKİ EĞİTİM KURSU,Özel Muhtelif Kurslar,MAVİGÖL MAH. SELVİLİK SK.  NO: 8A ARNAVUTKÖY / İSTANBUL,(212) 463 30 00,(212) 465 75 78,5496967869,www.tavakademi.com
81,İSTANBUL,ARNAVUTKÖY,ÖZEL TEK MERKEZ MOTORLU TAŞIT SÜRÜCÜLERİ KURSU,Özel Motorlu Taşıt Sürücüleri Kursu,ARNAVUTKÖY MERKEZ MAH. NURSU SK.  NO: 2  İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 3),(212) 597 60 50,,1478842287,tekmerkezsurucukursu.com
82,İSTANBUL,ARNAVUTKÖY,ÖZEL TEK MERKEZ ULAŞTIRMA HİZMETLERİ MESLEKİ EĞİTİM VE GELİŞTİRME KURSU,Özel Muhtelif Kurslar,ARNAVUTKÖY MERKEZ MAH. NURSU SK.  NO: 2A ARNAVUTKÖY / İSTANBUL,(542) 597 05 97,,1822666093,tekmerkezsrc.com
83,İSTANBUL,ARNAVUTKÖY,ÖZEL ÜMİT GÜLDÜ MOTORLU TAŞIT SÜRÜCÜLERİ KURSU,Özel Motorlu Taşıt Sürücüleri Kursu,ARNAVUTKÖY MERKEZ MAH. ESKİ EDİRNE ASFALTI CAD. SINAN BLOK  NO: 1249  İÇ KAPI NO: 3 ARNAVUTKÖY / İSTANBUL,(212) 597 26 83,,2345813394,guldukardesler@gmail.com
84,İSTANBUL,ARNAVUTKÖY,ÖZEL ÜNSAL ANADOLU LİSESİ,Özel Anadolu Lisesi,MAREŞAL FEVZİ ÇAKMAK MAH. FATİH CAD. A NO: 333A ARNAVUTKÖY / İSTANBUL,(212) 681 03 81,,2219263437,
85,İSTANBUL,ARNAVUTKÖY,ÖZEL ÜNSAL İLKOKULU,Özel Türk İlkokulu,MAREŞAL FEVZİ ÇAKMAK MAH. FATİH CAD. A NO: 333A ARNAVUTKÖY / İSTANBUL,(212) 681 03 81,,2219263437,
86,İSTANBUL,ARNAVUTKÖY,ÖZEL ÜNSAL ORTAOKULU,Özel Türk Ortaokulu,MAREŞAL FEVZİ ÇAKMAK MAH. FATİH CAD. A NO: 333A ARNAVUTKÖY / İSTANBUL,(212) 681 03 81,,2219263437,
87,İSTANBUL,ARNAVUTKÖY,ÖZEL VEFA FİNAL ANAOKULU,Özel Türk Okul Öncesi Kurumu,HADIMKÖY MAH. ADNAN MENDERES CAD. NO: 39 İÇ KAPI NO: 3 ARNAVUTKÖY / İSTANBUL,(531) 888 64 65,,3817324076,
88,İSTANBUL,ARNAVUTKÖY,ÖZEL VİLLALAR  ANAOKULU,Özel Türk Okul Öncesi Kurumu,KARLIBAYIR MAH. TÜLAY SK.  NO: 3  İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(507) 993 20 33,,1753068616,
89,İSTANBUL,ARNAVUTKÖY,ÖZEL VİLLALAR ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,Özel Eğitim ve  Rehabilitasyon Merkezi,KARLIBAYIR MAH. TÜLAY SK.  NO: 1  İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 683 10 08,(212) 683 10 08,1758468431,0
90,İSTANBUL,ARNAVUTKÖY,ÖZEL YAKAMOZ ANAOKULU,Özel Türk Okul Öncesi Kurumu,HASTANE  MAH. AKDEMİR SK. - SİTESİ - BLOK  NO: 12A ARNAVUTKÖY / İSTANBUL,(212) 771 28 64,(212) 771 28 65,2640145385,
91,İSTANBUL,ARNAVUTKÖY,ÖZEL YENİ GAYE MOTORLU TAŞIT SÜRÜCÜLERİ KURSU,Özel Motorlu Taşıt Sürücüleri Kursu,ARNAVUTKÖY MERKEZ MAH. BERKAY SK. - NO: 4 İÇ KAPI NO: 10 ARNAVUTKÖY / İSTANBUL,(212) 597 44 66,,1800771857,
92,İSTANBUL,ARNAVUTKÖY,ÖZEL YENİ KARİYERİM MESLEKİ VE TEKNİK ANADOLU LİSESİ,Özel Mesleki ve Teknik Anadolu Lisesi,ANADOLU MAH. YILDIRIM BEYAZIT CAD. NO: 106-108 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 681 01 10,(212) 681 01 10,1491485643,www.kariyerimokullari.k12.tr
93,İSTANBUL,ARNAVUTKÖY,ÖZEL ZAMAN MOTORLU TAŞIT SÜRÜCÜLERİ KURSU,Özel Motorlu Taşıt Sürücüleri Kursu,MUSTAFA KEMAL PAŞA MAH. FATİH CAD.  NO: 241  İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 597 95 96,(212) 597 60 70,2194018475,
94,İSTANBUL,ARNAVUTKÖY,ÖZEL ZEYNEP HATUN ANAOKULU,Özel Türk Okul Öncesi Kurumu,ÖMERLİ MAH. TERME SK. NO: 6 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(532) 515 61 75,,3092225626,
95,İSTANBUL,ATAŞEHİR,ARTI KIRKBEŞ ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,ATATÜRK MAH. GİRNE CAD. NO: 19 ATAŞEHİR / İSTANBUL,(532) 513 67 07,,2401045030,
96,İSTANBUL,ATAŞEHİR,ARTI REHBERLİK ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,ATATÜRK MAH. ŞENGÜN SK. NO: 5 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL (DİĞER İÇ KAPILAR: 2-3),(532) 588 27 87,,1731478978,
97,İSTANBUL,ATAŞEHİR,AŞIK VEYSEL İSTANBUL ATABEY ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,MUSTAFA KEMAL MAH. 3001. CAD. ÇİFTÇİ İŞ MERKEZİ NO: 89 İÇ KAPI NO: 2 ATAŞEHİR / İSTANBUL (DİĞER İÇ KAPILAR: 3-4),(553) 842 30 28,,2515011084,
98,İSTANBUL,ATAŞEHİR,ATAŞEHİR ALESTA ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,BARBAROS MAH. TİMUR SK. NO: 5/1 İÇ KAPI NO: 3 ATAŞEHİR / İSTANBUL (DİĞER İÇ KAPILAR: 4),(216) 472 82 92,(216) 472 82 96,2468845892,
99,İSTANBUL,ATAŞEHİR,ATAŞEHİR ELİT UĞURLU FEN BİLİMLERİ ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,BARBAROS MAH. BARBAROS CAD. NO: 224 İÇ KAPI NO: 3 ATAŞEHİR / İSTANBUL,(216) 291 21 21,,3613904659,
100,İSTANBUL,ATAŞEHİR,ATAŞEHİR FERHATPAŞA GENÇLİK MERKEZİ DESTEK EĞİTİM KURSU,İşbirliği Protokolü Kapsamında Açılan Kurslar,FERHATPAŞA MAH. 16. SK.  NO: 25  İÇ KAPI NO: 3 ATAŞEHİR / İSTANBUL,(216) 570 50 00,,2473947063,
