Kurum Adı,İlçe,Kurum Türü,Adres,Telefon 1,Web Sitesi
ÖZEL VİLLALAR ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,ARNAVUTKÖY,Özel Eğitim ve  Rehabilitasyon Merkezi,KARLIBAYIR MAH. TÜLAY SK.  NO: 1  İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 683 10 08,0
ÖZEL YAKAMOZ ANAOKULU,ARNAVUTKÖY,Özel Türk Okul Öncesi Kurumu,HASTANE  MAH. AKDEMİR SK. - SİTESİ - BLOK  NO: 12A ARNAVUTKÖY / İSTANBUL,(212) 771 28 64,
ÖZEL YENİ GAYE MOTORLU TAŞIT SÜRÜCÜLERİ KURSU,ARNAVUTKÖY,Özel Motorlu Taşıt Sürücüleri Kursu,ARNAVUTKÖY MERKEZ MAH. BERKAY SK. - NO: 4 İÇ KAPI NO: 10 ARNAVUTKÖY / İSTANBUL,(212) 597 44 66,
ÖZEL YENİ KARİYERİM MESLEKİ VE TEKNİK ANADOLU LİSESİ,ARNAVUTKÖY,Özel Mesleki ve Teknik Anadolu Lisesi,ANADOLU MAH. YILDIRIM BEYAZIT CAD. NO: 106-108 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 681 01 10,www.kariyerimokullari.k12.tr
ÖZEL ZAMAN MOTORLU TAŞIT SÜRÜCÜLERİ KURSU,ARNAVUTKÖY,Özel Motorlu Taşıt Sürücüleri Kursu,MUSTAFA KEMAL PAŞA MAH. FATİH CAD.  NO: 241  İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 597 95 96,
ÖZEL ZEYNEP HATUN ANAOKULU,ARNAVUTKÖY,Özel Türk Okul Öncesi Kurumu,ÖMERLİ MAH. TERME SK. NO: 6 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(532) 515 61 75,
ARTI KIRKBEŞ ÖZEL ÖĞRETİM KURSU,ATAŞEHİR,Özel Öğretim Kursu,ATATÜRK MAH. GİRNE CAD. NO: 19 ATAŞEHİR / İSTANBUL,(532) 513 67 07,
ARTI REHBERLİK ÖZEL ÖĞRETİM KURSU,ATAŞEHİR,Özel Öğretim Kursu,ATATÜRK MAH. ŞENGÜN SK. NO: 5 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL (DİĞER İÇ KAPILAR: 2-3),(532) 588 27 87,
AŞIK VEYSEL İSTANBUL ATABEY ÖZEL ÖĞRETİM KURSU,ATAŞEHİR,Özel Öğretim Kursu,MUSTAFA KEMAL MAH. 3001. CAD. ÇİFTÇİ İŞ MERKEZİ NO: 89 İÇ KAPI NO: 2 ATAŞEHİR / İSTANBUL (DİĞER İÇ KAPILAR: 3-4),(553) 842 30 28,
ATAŞEHİR ALESTA ÖZEL ÖĞRETİM KURSU,ATAŞEHİR,Özel Öğretim Kursu,BARBAROS MAH. TİMUR SK. NO: 5/1 İÇ KAPI NO: 3 ATAŞEHİR / İSTANBUL (DİĞER İÇ KAPILAR: 4),(216) 472 82 92,
ATAŞEHİR ELİT UĞURLU FEN BİLİMLERİ ÖZEL ÖĞRETİM KURSU,ATAŞEHİR,Özel Öğretim Kursu,BARBAROS MAH. BARBAROS CAD. NO: 224 İÇ KAPI NO: 3 ATAŞEHİR / İSTANBUL,(216) 291 21 21,
ATAŞEHİR FERHATPAŞA GENÇLİK MERKEZİ DESTEK EĞİTİM KURSU,ATAŞEHİR,İşbirliği Protokolü Kapsamında Açılan Kurslar,FERHATPAŞA MAH. 16. SK.  NO: 25  İÇ KAPI NO: 3 ATAŞEHİR / İSTANBUL,(216) 570 50 00,
